author,comment_count,posting_rate,avg_text_similarity,std_text_length,duplicate_ratio,degree_centrality,buzzer_score,buzzer_category,isolation_forest_score,ml_buzzer_label
@budiasihnengah2853,1,1.0,0.0,0.0,0.0,0.17536309844002151,2,Medium Suspicion,-0.5370177619152083,Suspected Buzzer
@Enisusanti-i1u,1,1.0,0.0,0.0,0.0,0.09610901918594227,2,Medium Suspicion,-0.4542712332200317,Normal User
@nelawulandari3731,1,1.0,0.0,0.0,0.0,0.19508696431773356,2,Medium Suspicion,-0.5284406354238148,Normal User
@NeyshaAndhara-p6o,1,1.0,0.0,0.0,0.0,0.0979020979020979,2,Medium Suspicion,-0.43497840401214705,Normal User
@EnibEnib,1,1.0,0.0,0.0,0.0,0.14792899408284024,2,Medium Suspicion,-0.44462582896903136,Normal User
@LailaNurul-w2h,1,1.0,0.0,0.0,0.0,0.08355746817285278,2,Medium Suspicion,-0.4752885277372252,Normal User
@Endii123Buyung12,1,1.0,0.0,0.0,0.0,0.0979020979020979,2,Medium Suspicion,-0.43497840401214705,Normal User
@Neulis25-m3m,1,1.0,0.0,0.0,0.0,0.0979020979020979,2,Medium Suspicion,-0.43497840401214705,Normal User
@Reza-h7n,1,1.0,0.0,0.0,0.0,0.10059171597633136,2,Medium Suspicion,-0.45531137290193324,Normal User
@nenenganita4299,1,1.0,0.0,0.0,0.0,0.07602653756499911,2,Medium Suspicion,-0.4704475429858966,Normal User
@aidilfitri4631,1,1.0,0.0,0.0,0.0,0.11350188273265197,2,Medium Suspicion,-0.4897179937562013,Normal User
@nelviany7920,1,1.0,0.0,0.0,0.0,0.16908732293347678,2,Medium Suspicion,-0.5220449924253168,Normal User
@nindiafauziah7046,1,1.0,0.0,0.0,0.0,0.17536309844002151,2,Medium Suspicion,-0.5370177619152083,Suspected Buzzer
@Lainii-ih7cd,1,1.0,0.0,0.0,0.0,0.1341222879684418,2,Medium Suspicion,-0.4894043056821695,Normal User
@norizalbinmdrabanirizal6730,1,1.0,0.0,0.0,0.0,0.09395732472655549,2,Medium Suspicion,-0.4672954515037429,Normal User
@nn_zaa,1,1.0,0.0,0.0,0.0,0.0979020979020979,2,Medium Suspicion,-0.43497840401214705,Normal User
@nomadcreative7357,1,1.0,0.0,0.0,0.0,0.08570916263223956,2,Medium Suspicion,-0.47273710879725744,Normal User
@nonianggraeni2148,1,1.0,0.0,0.0,0.0,0.201900663439125,2,Medium Suspicion,-0.5530459063759828,Suspected Buzzer
@Rini-r5g,1,1.0,0.0,0.0,0.0,0.19508696431773356,2,Medium Suspicion,-0.5284406354238148,Normal User
@hajiriyah442,1,1.0,0.0,0.0,0.0,0.1043571812802582,2,Medium Suspicion,-0.46247428833730064,Normal User
@EghaNovitasara,1,1.0,0.0,0.0,0.0,0.23794154563385334,2,Medium Suspicion,-0.573346945431757,Suspected Buzzer
@hafizxrealmadrid,1,1.0,0.0,0.0,0.0,0.14792899408284024,2,Medium Suspicion,-0.44462582896903136,Normal User
@RiniPmg-r9o,1,1.0,0.0,0.0,0.0,0.12354312354312355,2,Medium Suspicion,-0.4995276885869331,Normal User
@ahkoi2989,1,1.0,0.0,0.0,0.0,0.09037116729424421,2,Medium Suspicion,-0.47040702606210266,Normal User
@Edo7684N,1,1.0,0.0,0.0,0.0,0.09969517661825354,2,Medium Suspicion,-0.45201338727510804,Normal User
@RinaIjem,1,1.0,0.0,0.0,0.0,0.23794154563385334,2,Medium Suspicion,-0.573346945431757,Suspected Buzzer
@EdiHermanto-o9y,1,1.0,0.0,0.0,0.0,0.10130894746279362,2,Medium Suspicion,-0.45858848304729577,Normal User
@EdiEdi-sh4kd,1,1.0,0.0,0.0,0.0,0.07154384077461001,2,Medium Suspicion,-0.4604603965370615,Normal User
@cahelexs9788,1,1.0,0.0,0.0,0.0,0.07172314864622557,2,Medium Suspicion,-0.45757220491155043,Normal User
@agusyusuf8458,1,1.0,0.0,0.0,0.0,0.19508696431773356,2,Medium Suspicion,-0.5284406354238148,Normal User
@LatifahTifah-x9g,1,1.0,0.0,0.0,0.0,0.1043571812802582,2,Medium Suspicion,-0.46247428833730064,Normal User
@noviaazka7780,1,1.0,0.0,0.0,0.0,0.17536309844002151,2,Medium Suspicion,-0.5370177619152083,Suspected Buzzer
@noviadia163,1,1.0,0.0,0.0,0.0,0.08122646584185046,2,Medium Suspicion,-0.4736309038563112,Normal User
@ELhwiwfqocsgsks,1,1.0,0.0,0.0,0.0,0.0979020979020979,2,Medium Suspicion,-0.43497840401214705,Normal User
@EKJARJARWO,1,1.0,0.0,0.0,0.0,0.1009503317195625,2,Medium Suspicion,-0.4590761948228048,Normal User
@RinaRahim-n8c,1,1.0,0.0,0.0,0.0,0.14792899408284024,2,Medium Suspicion,-0.44462582896903136,Normal User
@buyani486,1,1.0,0.0,0.0,0.0,0.1455979917518379,2,Medium Suspicion,-0.47034783151292175,Normal User
@ahmadsober6539,1,1.0,0.0,0.0,0.0,0.19508696431773356,2,Medium Suspicion,-0.5284406354238148,Normal User
