publishedAt,authorDisplayName,textDisplay,likeCount
2025-09-27T08:55:19Z,@SilvyMardiyanti,Idtimewah bnget ini mah,0
2025-09-27T08:18:24Z,@LestariIrawan-f9k,Aku jadi pengen deh...... di SD aku,0
2025-09-27T07:48:12Z,@Iyen-ux7wk,Awas kejang,0
2025-09-27T07:27:37Z,@NatalianaDewi-t6w,Kpn di kota aq.,0
2025-09-27T07:21:40Z,@SulisTyowati-ge4qo,Keren,0
2025-09-27T06:02:25Z,@NurAzizah-y7b,Wkwkwkw liat enak tapi baracun wkwk😂😂😂,0
2025-09-27T05:34:45Z,@putricantik-i9j,Abang kelas ku kemaren kata nya dapet ulat kaya ulat bulu gitu katany😮,10
2025-09-27T06:15:39Z,@IrmaRahmawati-up2yc,Saya. Suka. Lagu. Itu. Kak. Ko. Kakak. Bisa. Tau. Itu. Kan. Lagu. Nya. Enak. Di. Dengerin,1
2025-10-05T13:31:29Z,@SartubiCrbn,😬😬😬😬😬😱😱😱😱,1
2025-10-06T12:35:45Z,@Monster.hack87Hack,😮😮😮😮😮😮😮,0
2025-10-09T15:57:56Z,@malvenocharashoilham,Iya katanya ulat ...dan ada katanya ular kobra,0
2025-09-27T05:25:47Z,@rusniito,makanan geratis kok ada racun ya😂,0
2025-09-27T04:12:45Z,@AjuJuju-l8g,Kak kok di sekolah aku mbg nya gak gitu menu nya,0
2025-09-27T04:08:39Z,@davidsetia3765,"Ikan, ayam, lauk lainnya mana?",0
2025-09-27T03:42:34Z,@homsahnurani,❤❤❤❤❤❤❤🎉🎉🎉😊😊😇🤩,0
2025-09-27T03:26:20Z,@channeldapurmama8338,Sekolah gua kok belum dapat,0
2025-09-27T02:06:28Z,@FayraZarin-m4g9d,juat depan,0
2025-09-27T02:04:27Z,@triaFitria-e1o,Sebenarnya ada baik dan buruknya baiknya membuka lapangan kerjaan  dan usaha kecil menengah buruknya karena dapat memberi celah buat dikorup sehingga pas bagian bawah nya kurang memperhatikan kesehatan dan keamanan karena cari keuntungan kalau bisa tetap pemerintah harus kontrol dan pantau terus jgn sampe program ini bisa senjata balik buat pemerintah sendiri padahal tujuannya sangat mulia buat  gizi anak bangsa,5
2025-09-27T01:41:35Z,@jenal2472,Awas basiiiiiiii.😂,0
2025-09-27T00:17:53Z,@seinajahrotu4560,Masak kemaren aku GK dapat ayam temen aku dapat tapi aku doang yg GK dapat ayam issss,0
2025-09-26T21:50:42Z,@AhmadRasmanto,Aku Di Sekolah Udah Dapet MBG Setiap Hari Kok Kemarin Hari Jumat MBG nya Hoddok sama sosis Dan susu sama Puding Terus Dapat Saos Sama Maones Enakk banget sumpah,10
2025-09-26T17:13:58Z,@NanangSaputra-t6p,❤❤❤,0
2025-09-26T17:00:36Z,@sabunamooreaoriginal,"PERINGATAN! buat yang bilang &quot;makan beracun✅, makanan nya basi lah, gak semua kaya gitu kocakkkk, mikir klo mau komen bok. tapi harus tetap hati², liat makanan nya yaaa<br><br>edit : wah mak aku terkenal, mks 1 like ny pdhl like sendiri:)",11
2025-09-27T09:09:44Z,@NindiDitaa,"Kayaknya penyebabnya, makanannya, terutama daging di masak kurang matang, jadi mudah basi dan banyak bakterinya",0
2025-09-29T07:55:49Z,@nurharjanti6464,Iya gak semua beracun aku nih gak beracun tuh di sekolah ku juga gak ada yg keracunan,0
2025-09-26T15:11:17Z,@VINOO-xf9vu,Makanan beracun😂😂,0
2025-09-26T14:51:38Z,@safrianasafriana6747,Senin. Kak. SD. 3. Mbg. Nya pizza.  Lah.  Dengan Selasa. Mbg. Nya. Bingkisan. Lah plisss,0
2025-09-26T14:17:59Z,@SuciDhifa,Nggak boleh nggak hari Senin kami makan gratis di SD 1 tempat di liga 1 kaya harus Senin ya,0
2025-09-26T14:17:01Z,@SuciDhifa,Kak kapan makan gratis di SD 1,0
2025-09-26T14:15:37Z,@arrisakabidin,Mbg makanan beracun gratisss😂😂,0
2025-09-26T14:02:00Z,@rendyali-mu2zj,Nyami,0
2025-09-26T13:53:02Z,@NanikTrisnawati-x1o,Sdn 2guyangan donk soalnya belum,0
2025-09-26T13:41:32Z,@rezzapratama8016,Alhamdulilah nyampe wkwkw😂😅,1
2025-09-26T13:12:14Z,@RapiMudhamd,Kapan nih ad cilnggir,0
2025-09-26T12:50:28Z,@noviadia163,sekolah kami belum dapet,0
2025-09-26T12:47:04Z,@TisyaAdyba,Yang di. Video. In. Bagus. Giliran. Dapat. Gak. Ada.   Susu,0
2025-09-26T12:25:59Z,@Dvs_su4ya,MBG:makanan beracun gratis,0
2025-09-26T12:18:54Z,@pawonedi,Klu prosesnya begini sih kayaknya gak ada yg keracunan,0
2025-09-26T12:10:09Z,@FaizaTani-p8n,Kak aku disekolah ku mbg nya GK enakk,0
2025-09-26T12:07:01Z,@UunKurniasih-g1w,Telor sehat kangkung sehat  buah nya sehat tempe sehat susu juga sehat <br>Cuman harus di cek lagi takut ad yg basi ntar malah ke makan .,5
2025-09-26T12:59:14Z,@dewidew4664,Giliran di videoin dikasih liatnya yg bagus2... Kenyataannya banyak yg keracunan.. Aduuhhh... Ngerii,0
2025-09-28T08:01:58Z,@ReinanTumanggorReinanTumanggor,MBG Enak,1
2025-09-26T12:07:00Z,@InaraaisyahAisyahssd,Beginian ???,0
2025-09-26T11:36:56Z,@DzakiraThalitaZahra-dz8dx,Jujur si aku trauma sama MBG karna aku pernah nemu lalat si 😢😢,0
2025-09-26T11:36:53Z,@arsen234,Itu dmn? Kok kelihatan aman,0
2025-09-26T11:35:23Z,@BaiqAnnisa-e8t,Aku belum dapat makanan gratis 😅😅,0
2025-09-26T11:11:06Z,@SaefulAnam-y7i,Kak aku mbg di sekolahku sudah selesai❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1
2025-09-26T11:08:04Z,@muhammadrifaiakbar8088,"ini baru makanan sehat dan bergizi,bersih",0
2025-09-26T11:00:13Z,@diyanwahyuni781,Yey aku hari senin ada MBG yeyyyyyyy🎉🎉🎉,1
2025-09-26T10:37:45Z,@dayanmedaran6955,Diganti udah jadi uang perbulan biar ada belanja anak2,0
2025-09-26T10:20:38Z,@tenkek22ardhy55,Rikues Berger bang,0
2025-09-26T10:11:21Z,@DianKd-m5e,kls kami kok blum dapat pak SD 008 pulau rumput Riau,0
2025-09-26T09:50:53Z,@daunhijau-cz5bw,bang makanan gratis ku gk enak² tau kata aku sih mending kasih 78 Ribuu ke orang tua nya terus orang tua nya masak anaknya bawa masakan emak nyaa yang gk bawa gk usah di kasih duit nya,0
2025-09-26T09:26:29Z,@RizalSimma,Kesini dong di sekolah 132 benteng<br>Galung Pinrang ❤😊,1
2025-09-26T09:17:34Z,@AldikaFernanda-y3y,sd/smp/sma mana kak/tante/ibu,0
2025-09-26T08:25:41Z,@VeryIrawan-yl8zk,Aku belum dapat,0
2025-09-26T08:25:00Z,@VeryIrawan-yl8zk,Aku belum dapat,0
2025-09-26T08:25:00Z,@VeryIrawan-yl8zk,Aku belum dapat,0
2025-09-26T08:13:17Z,@UgiAjah-t1b,"Enak banget kak mau donggg,rikues spaghetti carbonara dan ada susu nya juga 😅😅😅",0
2025-09-26T08:13:17Z,@UgiAjah-t1b,"Enak banget kak mau donggg,rikues spaghetti carbonara dan ada susu nya juga 😅😅😅",1
2025-09-26T08:13:55Z,@UgiAjah-t1b,Dan ke SD 03 tugu ya ditungguin 😅😅,1
2025-09-26T07:54:54Z,@JuniHandoko-x4d,❤️❤️❤️❤️❤️❤️❤️❤️,1
2025-09-26T07:37:45Z,@vanezzhiaa,dimana ituuuu,1
2025-09-26T07:32:47Z,@Shakila339,"Seharus nya yg kelola kantin sekolah , jadi setiap istirahat anak&quot; ke kantin untuk antre makan disana",43
2025-10-01T12:30:27Z,@MohFaiz-q5q,Today racun,0
2025-10-12T23:24:14Z,@KaylaAkbar-ht1ie,Stuju🎉🎉,0
2025-10-14T12:26:39Z,@MuhFairus-r6y,Gua aja ibu ku kerja di MBG pergi jam 3 pulangnya jam 12 atau 2 tapi mbgnya enak banget tapi dikasi bukan sekolah gua😅 jadinya di sekolah lain 😂,0
2025-10-25T05:11:50Z,@chatarinavanessa731,Ak jg sewa kantin sejak ada mbg pendapat menurun gmn hrs bayar sewa dan karyawan😢,0
2025-09-26T07:11:24Z,@syafiqgaminghensem5444,😮🤤,0
2025-09-26T07:01:43Z,@SriRahayu-t8p5f,Kak besok menunya apa❓,0
2025-09-26T06:59:44Z,@DiasannurYulfiani,enak,0
2025-09-26T06:54:33Z,@lelawati4401,Belum dapat,0
2025-09-26T06:42:24Z,@FriskaAfareen,SD negeri Gentan 03 dong,0
2025-09-26T05:49:33Z,@DrajatPangestu-cr4nm,Saya. Belum mbak,0
2025-09-26T05:16:41Z,@NurAisyahpancawati,Aku belum dapat,0
2025-09-26T05:02:26Z,@revrian8878,Makan bergizi gratis ❌<br><br>Makan beracun gratis ✅,97
2025-09-26T09:26:28Z,@Arkaho011__offical,Betul😂,0
2025-09-26T11:02:03Z,@RazaDarmawan343,Gak semuanya gitu aja juga Pihak mbg yang makanannya sangat berkualitas dan di ganti setiap hari agar murid tidak bosan,2
2025-09-26T15:30:24Z,@lovleychela,Enggak lah GK semuanya😹🤭,1
2025-09-27T01:51:15Z,@FergiansyahFergiansyah-z6f,Gw mah aman aman aje tiap hari ganti menu dan gak terjadi apa apa kok,1
2025-09-27T08:33:18Z,@RealmeC3-n8p,Yg belom dapet : 🙂🙃,1
2025-09-26T04:47:44Z,@GibranBae-eu8kg,di sekolah mana kak??,0
2025-09-26T03:32:45Z,@NurYanti-s4u,"Ini makanan ya enak2.kalau di sekolah anak guwe.gak pada enak2,",0
2025-09-26T03:09:54Z,@SuraBaya-b9u,Kak aku ko belum dapet ya aku sekolah di rangka enam kak,0
2025-09-26T00:42:09Z,@pelangiku7,Paling keracunan😂😂😂,0
2025-09-26T00:39:55Z,@bbilqiss-17f,klo boleh tau berpa harganya perporsi ini,0
2025-09-26T00:17:04Z,@alimustafah3293,Sikit sekali sayurnya  tempenya juga tambahlah satu lagi,0
2025-09-25T22:54:36Z,@Oli_77777,Beda bedaa~,0
2025-09-25T15:44:41Z,@HerikiswantoHeriorlando,😢😢,0
2025-09-25T15:44:33Z,@HerikiswantoHeriorlando,😢😢,0
2025-09-25T15:37:29Z,@IrawanAdik,Sementara itu di dimensi yang lain : Keracunan woe😭,0
2025-09-25T15:05:31Z,@linaristiana6397,Mbg makanan beracun gratis,0
2025-09-25T14:36:08Z,@tinaanggraini2658,Adil masa SD belum😢😢😢😢,0
2025-09-25T14:34:35Z,@shafiqaelmira2283,Aku tanggal 1 oktober udah dapat 😊😊😊,0
2025-09-25T14:25:27Z,@roonyandinainggolan296,Sma1,0
2025-09-25T14:14:36Z,@RfffJjjj,Nah ini baru asli,0
2025-09-25T14:07:37Z,@NabilUbil-l3i,Belum dapet,1
2025-09-25T13:54:37Z,@MSalman-ml5iw,Tapi tetap harus hati² sih soalnya 2 hari yg lalu saya mbg ada ulat/belatungnya,0
2025-09-25T13:52:51Z,@RIZKYAJA01,M i al markaz ke bagian nggak,0
2025-09-25T13:52:39Z,@IwanBeo-m8w,SDN Adiyasa Marquez daging sapi,0
2025-09-25T13:40:23Z,@Kocho-n6u,"Disekolah ku gak ada mbg soalnya udah ada makan siang , makan siang nya bayar sihh tapi enak kok",0
2025-09-25T13:37:11Z,@ikinsidikin5185,aku belum kepagian mbg di SDN 2 MAJASIH,0
2025-09-25T13:34:49Z,@SuastiniTni,Semangat. Kakak,0
2025-09-25T13:22:56Z,@LailaMunawaroh-n9z,Di sekolah ku ga ada susu,0
2025-09-25T13:21:55Z,@MuhammadNursani-n6z,Besok makanan apah,0
2025-09-25T13:03:16Z,@auliaarif3406,maaf kak kok kami belum kami dari sumbe harta,0
2025-09-25T13:01:42Z,@welassri360,Aku belum dapat mbg nya 😢😢😢😢😢😢😢😢,1
2025-09-25T13:00:35Z,@anisajelita897,Ko makanan nya pada enk enk ya di tempat ku mah bosenin mana buahnya jeruk klo ga pisang gitu2 mulu g pernah ganti,0
2025-09-25T12:58:05Z,@NurHidayah-pm8vs,Sumpah gw disini tempe ama telor woii,0
